datetime,storage (acre-feet),release volume (acre-feet),pool elevation (feet),total release (cfs),Powell total release (cfs),Powell release volume (acre-feet),T_max (degrees f),T_min(degrees f),precipitation (inches),snow (inches),snow depth (inches)
1970-01-01,16777000,10308.0992,1152.65002,5197,9960,19755.3719,49,23,0,0,0
1970-01-02,16789000,14552.7273,1152.76001,7337,14300,28363.6364,45,18,0,0,0
1970-01-03,16801000,12444.2975,1152.87,6274,16100,31933.8843,44,14,0,0,0
1970-01-04,16814000,10089.9174,1152.97998,5087,10700,21223.1405,44,14,0,0,0
1970-01-05,16824000,17512.0661,1153.06995,8829,14500,28760.3306,44,21,0,0,0
1970-01-06,16830000,19880.3306,1153.12,10023,15600,30942.1488,43,17,0,0,0
1970-01-07,16833000,18464.1322,1153.15002,9309,16100,31933.8843,47,26,0,0,0
1970-01-08,16850000,20530.9091,1153.30005,10351,15900,31537.1901,53,29,0,0,0
1970-01-09,16857000,20499.1736,1153.35999,10335,16600,32925.6198,53,35,0,0,0
1970-01-10,16874000,13037.3554,1153.51001,6573,13000,25785.124,62,37,0,0,0
1970-01-11,16887000,23579.5041,1153.62,11888,7990,15847.9339,50,31,0.01,0,0
1970-01-12,16887000,24134.876,1153.62,12168,13200,26181.8182,53,30,0,0,0
1970-01-13,16888000,21717.0248,1153.63,10949,12600,24991.7355,59,34,0,0,0
1970-01-14,16890000,18513.719,1153.65002,9334,12800,25388.4298,53,34,0,0,0
1970-01-15,16899000,17289.9174,1153.72998,8717,13400,26578.5124,63,36,0,0,0
1970-01-16,16904000,18775.5372,1153.77002,9466,14500,28760.3306,55,41,0,0,0
1970-01-17,16923000,10563.9669,1153.93994,5326,13200,26181.8182,61,35,0,0,0
1970-01-18,16939000,11016.1984,1154.07996,5554,10800,21421.4876,61,34,0,0,0
1970-01-19,16946000,22282.3141,1154.14001,11234,12600,24991.7355,61,34,0,0,0
1970-01-20,16946000,24053.5537,1154.14001,12127,12000,23801.6529,65,41,0,0,0
1970-01-21,16944000,27381.8182,1154.12,13805,11100,22016.5289,60,38,0,0,0
1970-01-22,16942000,27439.3388,1154.09998,13834,7990,15847.9339,64,40,0,0,0
1970-01-23,16938000,26885.9504,1154.06995,13555,7560,14995.0413,64,42,0,0,0
1970-01-24,16941000,15308.4298,1154.08997,7718,4590,9104.13223,73,45,0,0,0
1970-01-25,16944000,14269.0909,1154.12,7194,2530,5018.18182,62,40,0,0,0
1970-01-26,16936000,22883.3058,1154.05005,11537,7290,14459.5041,64,39,0,0,0
1970-01-27,16923000,24860.8265,1153.93994,12534,9330,18505.7851,71,38,0,0,0
1970-01-28,16904000,26269.0909,1153.77002,13244,10200,20231.405,53,35,0,0,0
1970-01-29,16896000,23867.1074,1153.69995,12033,10500,20826.4463,50,23,0,0,0
1970-01-30,16887000,25420.1653,1153.62,12816,10700,21223.1405,52,23,0,0,0
1970-01-31,16890000,19124.6281,1153.65002,9642,8460,16780.1653,61,42,0,0,0
1970-02-01,16903000,9110.08264,1153.76001,4593,4610,9143.80165,61,39,0,0,0
1970-02-02,16899000,23585.4546,1153.72998,11891,9640,19120.6612,58,36,0,0,0
1970-02-03,16894000,22764.2975,1153.68005,11477,10100,20033.0579,60,31,0,0,0
1970-02-04,16877000,27133.8843,1153.53003,13680,9850,19537.1901,63,37,0,0,0
1970-02-05,16877000,23166.9422,1153.53003,11680,10800,21421.4876,67,35,0,0,0
1970-02-06,16873000,23912.7273,1153.5,12056,9990,19814.876,67,36,0,0,0
1970-02-07,16877000,16986.4463,1153.53003,8564,8660,17176.8595,73,37,0,0,0
1970-02-08,16887000,9516.69421,1153.62,4798,3100,6148.76033,73,39,0,0,0
1970-02-09,16888000,20753.0579,1153.63,10463,7970,15808.2645,69,47,0,0,0
1970-02-10,16886000,23032.0661,1153.60999,11612,10200,20231.405,55,47,0.1,0,0
1970-02-11,16873000,21252.8926,1153.5,10715,12200,24198.3471,64,46,0,0,0
1970-02-12,16869000,23095.5372,1153.45996,11644,13600,26975.2066,68,40,0,0,0
1970-02-13,16871000,20923.6364,1153.47998,10549,9360,18565.2893,68,41,0,0,0
1970-02-14,16883000,15308.4298,1153.58997,7718,9310,18466.1157,64,42,0,0,0
1970-02-15,16897000,9812.2314,1153.70996,4947,3970,7874.38017,64,37,0,0,0
1970-02-16,16895000,19648.2645,1153.68994,9906,8290,16442.9752,68,36,0,0,0
1970-02-17,16893000,21135.8678,1153.67004,10656,8660,17176.8595,69,44,0,0,0
1970-02-18,16879000,20836.3636,1153.55005,10505,7920,15709.0909,61,46,0,0,0
